Time_s,Velocity_Smooth_m_s,Velocity_Uncertainty_m_s
2.596507812000000005e-06,7.365695685124387637e+01,2.505005537191810627e-01
2.596515624999999865e-06,7.354975624461587813e+01,2.504790158206335882e-01
2.596523436999999828e-06,7.343711511395713387e+01,2.504574843813641705e-01
2.596531250000000111e-06,7.331926444132808740e+01,2.504359538880160940e-01
2.596539062000000074e-06,7.319646849118053922e+01,2.504144298510901923e-01
2.596546874999999934e-06,7.306902470443701247e+01,2.506345651065909896e-01
2.596554687000000320e-06,7.293726326046143527e+01,2.508550594873715234e-01
2.596562499999999756e-06,7.280154628450294751e+01,2.510759704668600878e-01
2.596570311999999719e-06,7.266226668892981877e+01,2.512972425222346762e-01
2.596578125000000002e-06,7.251984664549684112e+01,2.515189333332878419e-01
2.596585936999999965e-06,7.237473568420620040e+01,2.517409871847753333e-01
2.596593750000000248e-06,7.222740843228324081e+01,2.519634619639612438e-01
2.596601562000000211e-06,7.207836200555071571e+01,2.521863017622441583e-01
2.596609375000000071e-06,7.192811307879868821e+01,2.524095646754510036e-01
2.596617187000000033e-06,7.177719466414764327e+01,2.526331946006461493e-01
2.596624999999999893e-06,7.162615263751503392e+01,2.528572498433548921e-01
2.596632811999999856e-06,7.147554205776499714e+01,2.530816741052747121e-01
2.596640625000000140e-06,7.132592332686998304e+01,2.533065259027974525e-01
2.596648437000000102e-06,7.117785824499549108e+01,2.535317487412143134e-01
2.596656249999999962e-06,7.103190601812102045e+01,2.537574013489236058e-01
2.596664061999999924e-06,7.088861927499695526e+01,2.539834270338366951e-01
2.596671874999999785e-06,7.074854014851298700e+01,2.542098847375066639e-01
2.596679686999999747e-06,7.061219647890597173e+01,2.544367175694115524e-01
2.596687500000000031e-06,7.048009818990125552e+01,2.546639846854533706e-01
2.596695311999999993e-06,7.035273388263800598e+01,2.548916289956156267e-01
2.596703125000000277e-06,7.023056769341782513e+01,2.551197098713264277e-01
2.596710937000000239e-06,7.011403644655690925e+01,2.553481700220561756e-01
2.596718750000000099e-06,7.000354713160470510e+01,2.555770690359212560e-01
2.596726562000000061e-06,6.989947472734219502e+01,2.558063494208526190e-01
2.596734374999999922e-06,6.980216038440701709e+01,2.560360709828500836e-01
2.596742186999999884e-06,6.971190997366244346e+01,2.562661760272224587e-01
2.596750000000000168e-06,6.962899299969397759e+01,2.564967245790821804e-01
2.596757812000000130e-06,6.955364187395834108e+01,2.567276587400252330e-01
2.596765624999999990e-06,6.948605153257550171e+01,2.569590387554771538e-01
2.596773436999999952e-06,6.942637938565668776e+01,2.571908065222984208e-01
2.596781249999999813e-06,6.937474557374835626e+01,2.574230225074370937e-01
2.596789061999999775e-06,6.933123350957677644e+01,2.576556284019128618e-01
2.596796875000000059e-06,6.929589067768590382e+01,2.577046169955263810e-01
2.596804687000000021e-06,6.926872966413664301e+01,2.577536179475681810e-01
2.596812500000000305e-06,6.924972938799875521e+01,2.578026438137194232e-01
2.596820312000000267e-06,6.923883650638542520e+01,2.578516820547943067e-01
2.596828125000000127e-06,6.923596696208592505e+01,2.579007452360343455e-01
2.596835937000000089e-06,6.924100765002636138e+01,2.579498208087233069e-01
2.596843749999999950e-06,6.925381817249181893e+01,2.579989213476735488e-01
2.596851561999999912e-06,6.927423266097507337e+01,2.580480342946221972e-01
2.596859375000000196e-06,6.930206164106863298e+01,2.580971722339689967e-01
2.596867187000000158e-06,6.933709391764745078e+01,2.581463225978880560e-01
2.596875000000000018e-06,6.937909846277837289e+01,2.581954979803746664e-01
2.596882811999999981e-06,6.942782628839057679e+01,2.582446858040398641e-01
2.596890624999999841e-06,6.948301228801621221e+01,2.582938986724829245e-01
2.596898436999999803e-06,6.954437703604476440e+01,2.583431239987352690e-01
2.596906250000000087e-06,6.961162852800350720e+01,2.583923743960166441e-01
2.596914062000000049e-06,6.968446385940123378e+01,2.584416372677625362e-01
2.596921875000000333e-06,6.976257082732152526e+01,2.584909252368239319e-01
2.596929687000000295e-06,6.984562945316501725e+01,2.585402256970352752e-01
2.596937499999999732e-06,6.993331341871163431e+01,2.585895512808816243e-01
2.596945312000000118e-06,7.002529141292626491e+01,2.586388893725984350e-01
2.596953124999999978e-06,7.012122838527963609e+01,2.586882526143135519e-01
2.596960936999999940e-06,7.022078670531729472e+01,2.587376283806336330e-01
2.596968750000000224e-06,7.032362722714846370e+01,2.587870293233591190e-01
2.596976562000000186e-06,7.042941025857867032e+01,2.588364428074542145e-01
2.596984375000000046e-06,7.053779643797027177e+01,2.588858814943922337e-01
2.596992187000000009e-06,7.064844751710595006e+01,2.589353327394973148e-01
2.596999999999999869e-06,7.076102705768373369e+01,2.589848092139241387e-01
2.597007811999999831e-06,7.087520104093984230e+01,2.590342982633403457e-01
2.597015625000000115e-06,7.099063839354347749e+01,2.590838125685983595e-01
2.597023437000000077e-06,7.110701143919202138e+01,2.591333394656930023e-01
2.597031249999999937e-06,7.122399627399590827e+01,2.591828916451828779e-01
2.597039062000000323e-06,7.134127307598919288e+01,2.592324564333923775e-01
2.597046874999999760e-06,7.145852635218524540e+01,2.592820465305865629e-01
2.597054686999999722e-06,7.157544512775265844e+01,2.593316492534056827e-01
2.597062500000000006e-06,7.169172308669978122e+01,2.592140238475159064e-01
2.597070311999999968e-06,7.180705866689531547e+01,2.590965201309024524e-01
2.597078125000000252e-06,7.192115511895370616e+01,2.589791078756995546e-01
2.597085937000000214e-06,7.203372053128165931e+01,2.588618169928383894e-01
